id;main;description;icon;temp;feels_like;temp_min;temp_max;pressure;humidity;name
800;Clear;clear sky;01d;22.82;22.96;21.95;23.73;996;69;Kyiv
803;Clouds;broken clouds;04d;17.06;17.04;15.72;17.92;998;85;London
